epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1253.84,1.01479,1.91511,1.16313,1.21959,0.64987,0.65876,0.66618,0.52014,0.66044,0.65062,0.66117,0.4978,1.29009,2.45366,1.54399,1.44016,0.000331439,0.000331439,0.000331439
2,2490.62,1.06,2.02501,1.20673,1.24187,0.60916,0.6398,0.6343,0.49083,0.61338,0.63423,0.62102,0.46502,1.34957,2.5686,1.59023,1.46113,0.000642835,0.000642835,0.000642835
3,3727.61,1.11948,2.10098,1.30668,1.27984,0.61736,0.55103,0.58056,0.44239,0.60561,0.55561,0.57329,0.42299,1.43777,2.75019,1.85696,1.5811,0.000932231,0.000932231,0.000932231
4,4982.45,1.14229,2.14796,1.35194,1.29736,0.64703,0.60715,0.62713,0.47788,0.63929,0.6041,0.61841,0.45722,1.40185,2.65069,1.92683,1.5182,0.000901,0.000901,0.000901
5,6231.5,1.13121,2.11529,1.3184,1.28269,0.58618,0.60616,0.61362,0.4661,0.60082,0.59254,0.60419,0.4464,1.42508,2.65751,1.67151,1.55353,0.000868,0.000868,0.000868
6,7470.85,1.11726,2.08444,1.31767,1.28705,0.63337,0.6083,0.63072,0.47818,0.59072,0.6101,0.61328,0.4512,1.41636,2.60791,1.66053,1.56034,0.000835,0.000835,0.000835
7,8707.93,1.10463,2.09212,1.27972,1.27279,0.57736,0.638,0.63449,0.49183,0.59094,0.63131,0.62287,0.47087,1.35743,2.52659,1.62357,1.48214,0.000802,0.000802,0.000802
8,9958.69,1.11118,2.0968,1.28359,1.2754,0.59896,0.62594,0.63756,0.49183,0.6136,0.61299,0.6311,0.47579,1.36939,2.47168,1.57491,1.4933,0.000769,0.000769,0.000769
9,11195.2,1.07396,2.03187,1.2377,1.25397,0.65397,0.64973,0.65233,0.49765,0.65303,0.63819,0.64334,0.48491,1.3621,2.55741,1.5589,1.4839,0.000736,0.000736,0.000736
10,12433.8,1.06961,1.98928,1.22179,1.25085,0.69436,0.63198,0.67568,0.5166,0.69255,0.63289,0.66923,0.49535,1.33614,2.50617,1.49887,1.45451,0.000703,0.000703,0.000703
11,13666.4,1.1024,2.06903,1.26304,1.26927,0.63824,0.61697,0.64222,0.49654,0.64444,0.62172,0.6417,0.48723,1.35486,2.515,1.62505,1.48473,0.00067,0.00067,0.00067
12,14910.7,1.08491,2.05237,1.23356,1.25204,0.67301,0.6461,0.66665,0.51267,0.69157,0.63472,0.66346,0.49736,1.31919,2.43088,1.51474,1.44337,0.000637,0.000637,0.000637
13,16147.6,1.07445,2.01522,1.20773,1.24435,0.65922,0.65468,0.67309,0.52716,0.67515,0.64173,0.66322,0.50322,1.27756,2.41798,1.47187,1.41852,0.000604,0.000604,0.000604
14,17384.2,1.0565,2.01543,1.18845,1.24193,0.6735,0.64735,0.67384,0.52095,0.66942,0.64623,0.66608,0.50126,1.31767,2.387,1.46975,1.43855,0.000571,0.000571,0.000571
15,18622.1,1.0549,1.98762,1.16292,1.2352,0.67633,0.64924,0.68915,0.53671,0.67079,0.64669,0.67821,0.51262,1.26741,2.39941,1.4495,1.40985,0.000538,0.000538,0.000538
