epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1209.94,0.95771,1.73083,0.96071,1.19528,0.68299,0.65355,0.67593,0.52521,0.68487,0.65598,0.67432,0.50504,1.30497,2.41476,1.47818,1.4514,0.000331439,0.000331439,0.000331439
2,2409.06,1.05463,1.88634,1.12538,1.26151,0.62697,0.62923,0.63377,0.49042,0.63761,0.61831,0.62959,0.47974,1.34992,2.47463,1.57844,1.49075,0.00059896,0.00059896,0.00059896
3,3599.23,1.10901,1.99529,1.2075,1.29751,0.61798,0.59968,0.61433,0.46231,0.62532,0.59863,0.60927,0.45011,1.42513,2.59961,1.68129,1.55982,0.000800481,0.000800481,0.000800481
4,4790.04,1.10278,1.98745,1.18825,1.2992,0.61724,0.62553,0.63138,0.48458,0.61291,0.63375,0.62512,0.47468,1.37827,2.56647,1.65938,1.52209,0.000703,0.000703,0.000703
5,5976.21,1.08532,1.99075,1.15653,1.29086,0.66614,0.61679,0.63306,0.49049,0.67936,0.61448,0.63332,0.48022,1.34503,2.49523,1.59235,1.4766,0.000604,0.000604,0.000604
6,7163.57,1.05873,1.90398,1.10738,1.2585,0.6603,0.63217,0.66338,0.51561,0.67691,0.62159,0.65218,0.49678,1.34331,2.49626,1.5477,1.46468,0.000505,0.000505,0.000505
7,8347.55,1.02383,1.83523,1.04259,1.23998,0.64865,0.65787,0.6679,0.51699,0.66221,0.62731,0.65577,0.50327,1.30318,2.42933,1.51249,1.46091,0.000406,0.000406,0.000406
8,9545.65,0.98504,1.77834,0.98068,1.20917,0.7014,0.66531,0.69269,0.5406,0.70556,0.66138,0.68751,0.52305,1.26745,2.4092,1.43923,1.42368,0.000307,0.000307,0.000307
9,10749.3,0.9604,1.72343,0.93246,1.1917,0.71106,0.65803,0.69367,0.55193,0.71393,0.65387,0.68594,0.52561,1.26486,2.37456,1.39827,1.42506,0.000208,0.000208,0.000208
10,11932.4,0.93222,1.67566,0.88188,1.17439,0.70875,0.66964,0.70209,0.55793,0.69507,0.66205,0.69129,0.53023,1.26076,2.38261,1.40593,1.42296,0.000109,0.000109,0.000109
